model,stem,domain,n,accuracy,ece,brier,best_method,best_ece,conf_std,collapsed,auc_rc,lift
Gemini-2.5-Flash (Multi-Domain),results_gemini25_flash_multidomain,gsm8k,250,0.56,0.43999999999999995,0.44,isotonic,0.0,0.0,True,0.5766472117279003,0.8181818181818182
Gemini-2.5-Flash (Multi-Domain),results_gemini25_flash_multidomain,mmlu,228,0.8859649122807017,0.06399122807017543,0.10113026315789475,platt,0.009248981080150813,0.041183136207799016,True,0.9317440075936175,1.9063545150501666
Gemini-2.5-Flash (Multi-Domain),results_gemini25_flash_multidomain,swebench,250,0.66,0.16859999999999997,0.26681000000000005,platt,0.010120492685231356,0.06187762115660234,True,0.695972909166285,1.2941176470588236
Gemini-2.5-Flash (Multi-Domain),results_gemini25_flash_multidomain,truthfulqa,250,0.904,0.0784,0.0912,isotonic,0.021958833333305124,0.028833314065504167,True,0.8903196441590288,1.6666666666666674
Llama-3.1-8B Instruct,results_llama31_8b,swebench,150,0.5066666666666667,0.20066666666666674,0.27380000000000004,platt,0.13174667349131375,0.07955710737158142,True,0.4725436210474841,0.27027027027027023
Llama-3.3-70B Instruct,results_llama33_70b,swebench,150,0.68,0.14733333333333323,0.24433333333333337,platt,0.034470113025099516,0.04168133075290822,True,0.6781442216460722,1.041666666666667
Llama-3.3-70B (Multi-Domain),results_llama33_70b_multidomain,gsm8k,247,0.6923076923076923,0.2939271255060728,0.2865587044534413,platt,0.0034455893532799094,0.036728480745074406,True,0.788149524616997,2.86
Llama-3.3-70B (Multi-Domain),results_llama33_70b_multidomain,mmlu,227,0.788546255506608,0.11268722466960368,0.1756616740088106,isotonic,0.035835822660061134,0.06296663022861107,True,0.8260988958897166,2.0561594202898554
Llama-3.3-70B (Multi-Domain),results_llama33_70b_multidomain,swebench,250,0.652,0.20080000000000003,0.27072,platt,0.015184392600285593,0.04985739664282521,True,0.6759981229965608,1.0344827586206897
Llama-3.3-70B (Multi-Domain),results_llama33_70b_multidomain,truthfulqa,250,0.884,0.08908,0.1088012,platt,0.025196139820694664,0.0551829103980571,True,0.8639637278318801,2.4137931034482762
results_llama33_70b_multidomain_fewshot,results_llama33_70b_multidomain_fewshot,gsm8k,239,0.6359832635983264,0.33276150627615075,0.33663891213389113,platt,1.0408233400149847e-05,0.018660524974154918,True,0.7675954877254583,1.7169540229885056
results_llama33_70b_multidomain_fewshot,results_llama33_70b_multidomain_fewshot,mmlu,48,0.7708333333333334,0.11479166666666654,0.17635625,temperature,0.03202858791973336,0.05803756865169317,True,0.8779541133368065,1.7454545454545458
results_llama33_70b_multidomain_fewshot,results_llama33_70b_multidomain_fewshot,swebench,250,0.668,0.18199999999999977,0.26236000000000004,platt,0.03383819011364609,0.03103804117530615,True,0.6837901822907598,1.2048192771084338
